21:23:02  |  Platform  |  Info  |  * Initialise: RenderManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  75
21:23:02  |  Platform  |  Info  |  RenderManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  109
21:23:02  |  Platform  |  Info  |  * Initialise: DataManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
21:23:02  |  Platform  |  Info  |  DataManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
21:23:02  |  Core  |  Info  |  * Initialise: Gui  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  63
21:23:02  |  Core  |  Info  |  * MyGUI version 3.2.3  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  68
21:23:02  |  Core  |  Info  |  * Initialise: ResourceManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  32
21:23:02  |  Core  |  Info  |  ResourceManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  40
21:23:02  |  Core  |  Info  |  * Initialise: LayerManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  33
21:23:02  |  Core  |  Info  |  LayerManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  41
21:23:02  |  Core  |  Info  |  * Initialise: WidgetManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  56
21:23:02  |  Core  |  Info  |  WidgetManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  90
21:23:02  |  Core  |  Info  |  * Initialise: InputManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_InputManager.cpp  |  46
21:23:02  |  Core  |  Info  |  InputManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_InputManager.cpp  |  66
21:23:02  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  36
21:23:02  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  56
21:23:02  |  Core  |  Info  |  * Initialise: SkinManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  36
21:23:02  |  Core  |  Info  |  SkinManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  46
21:23:02  |  Core  |  Info  |  * Initialise: FontManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_FontManager.cpp  |  32
21:23:02  |  Core  |  Info  |  FontManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_FontManager.cpp  |  42
21:23:02  |  Core  |  Info  |  * Initialise: ColourManager  |  ..\..\MyGUIEngine\src\MyGUI_ColourManager.cpp  |  31
21:23:02  |  Core  |  Info  |  ColourManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_ColourManager.cpp  |  35
21:23:02  |  Core  |  Info  |  * Initialise: ControllerManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  33
21:23:02  |  Core  |  Info  |  ControllerManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  42
21:23:02  |  Core  |  Info  |  * Initialise: PointerManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  43
21:23:02  |  Core  |  Info  |  PointerManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  62
21:23:02  |  Core  |  Info  |  * Initialise: ClipboardManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  32
21:23:02  |  Core  |  Info  |  ClipboardManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  39
21:23:02  |  Core  |  Info  |  * Initialise: LayoutManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  28
21:23:02  |  Core  |  Info  |  LayoutManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  35
21:23:02  |  Core  |  Info  |  * Initialise: DynLibManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  26
21:23:02  |  Core  |  Info  |  DynLibManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  30
